Date,Series of Member Payment Dependent Notes,Maximum aggregate principal amount offered,Stated interest rate,Service Charge,Initial maturity,Final maturity,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months,Months Since Last Major Derogatory
"January 7, 2015",38600132,"$13,275",20.99%,1.00%,Five years after issuance,Five years after issuance,OWN,"$3,083 / month",12.62%,n/a,629xx,N/a,N/a,N/a,n/a,N/a,710-714,0,09/1972,$0.00,6,0,15,n/a,"$5,942.00",1,37.10%,111,0,n/a
"January 7, 2015",38600156,"$10,000",7.49%,1.00%,Three years after issuance,Five years after issuance,RENT,"$5,250 / month",11.82%,8 years ,100xx,N/a,N/a,N/a,Assistant Director,N/a,695-699,0,02/2002,$0.00,12,0,22,30,"$26,307.00",0,69.80%,n/a,0,n/a
"January 7, 2015",38600180,"$23,950",13.66%,1.00%,Three years after issuance,Five years after issuance,RENT,"$5,000 / month",15.36%,1 year ,927xx,N/a,N/a,N/a,Marketing Strategist,N/a,685-689,0,05/1995,$0.00,8,0,24,n/a,"$47,484.00",0,52.20%,n/a,0,n/a
"January 7, 2015",38600595,"$35,000",18.54%,1.00%,Three years after issuance,Five years after issuance,RENT,"$7,500 / month",13.40%,5 years ,331xx,N/a,N/a,N/a,salesman,N/a,705-709,0,10/2004,$0.00,11,0,21,n/a,"$6,363.00",1,35.90%,75,0,n/a
"January 7, 2015",38600605,"$20,000",12.39%,1.00%,Five years after issuance,Five years after issuance,RENT,"$3,750 / month",32.91%,2 years ,856xx,N/a,N/a,N/a,store manager,N/a,705-709,0,11/2001,$0.00,13,0,20,n/a,"$20,713.00",0,68.40%,n/a,0,n/a
"January 7, 2015",38600613,"$18,000",13.66%,1.00%,Three years after issuance,Five years after issuance,RENT,"$14,583 / month",14.79%,10+ years ,333xx,N/a,N/a,N/a,Police officer,N/a,670-674,0,10/1996,$0.00,24,3,46,17,"$25,731.00",0,37.00%,n/a,2,n/a
"January 7, 2015",38600644,"$10,000",10.49%,1.00%,Three years after issuance,Five years after issuance,RENT,"$4,333 / month",15.19%,2 years ,902xx,N/a,N/a,N/a,sales manager ,N/a,665-669,0,01/1994,$0.00,8,0,10,70,"$7,426.00",1,79.00%,111,0,n/a
"January 7, 2015",38600670,"$12,000",11.44%,1.00%,Five years after issuance,Five years after issuance,RENT,"$5,000 / month",29.12%,10+ years ,890xx,N/a,N/a,N/a,Restaurant Manager,N/a,660-664,0,05/1999,$0.00,10,0,30,36,"$9,922.00",0,29.70%,n/a,0,45
"January 7, 2015",38600693,"$19,000",8.67%,1.00%,Three years after issuance,Five years after issuance,RENT,"$7,917 / month",25.33%,10+ years ,756xx,N/a,N/a,N/a,Engineer,N/a,670-674,0,08/1999,$0.00,11,0,37,50,"$17,513.00",0,91.20%,n/a,0,n/a
"January 7, 2015",38600709,"$9,900",8.19%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$5,000 / month",11.80%,10+ years ,553xx,N/a,N/a,N/a,Third grade teacher,N/a,705-709,0,02/2001,$0.00,9,0,21,68,"$28,482.00",0,65.80%,n/a,0,n/a
